[2023-06-2816:59:09] [ ERROR] [GlobalExceptionHandler:19] org.hibernate.TransientPropertyValueException: object references an unsaved transient instance - save the transient instance before flushing : com.example.FinalDesdeCero.entity.Paciente.domicilio -> com.example.FinalDesdeCero.entity.Domicilio; nested exception is java.lang.IllegalStateException: org.hibernate.TransientPropertyValueException: object references an unsaved transient instance - save the transient instance before flushing : com.example.FinalDesdeCero.entity.Paciente.domicilio -> com.example.FinalDesdeCero.entity.Domicilio
[2023-06-2816:59:27] [ ERROR] [GlobalExceptionHandler:19] org.hibernate.TransientPropertyValueException: object references an unsaved transient instance - save the transient instance before flushing : com.example.FinalDesdeCero.entity.Paciente.domicilio -> com.example.FinalDesdeCero.entity.Domicilio; nested exception is java.lang.IllegalStateException: org.hibernate.TransientPropertyValueException: object references an unsaved transient instance - save the transient instance before flushing : com.example.FinalDesdeCero.entity.Paciente.domicilio -> com.example.FinalDesdeCero.entity.Domicilio
[2023-06-2817:01:56] [ ERROR] [GlobalExceptionHandler:19] not-null property references a null or transient value : com.example.FinalDesdeCero.entity.Turno.odontologo; nested exception is org.hibernate.PropertyValueException: not-null property references a null or transient value : com.example.FinalDesdeCero.entity.Turno.odontologo
[2023-06-2817:02:11] [ ERROR] [GlobalExceptionHandler:19] JSON parse error: Invalid numeric value: Leading zeroes not allowed; nested exception is com.fasterxml.jackson.core.JsonParseException: Invalid numeric value: Leading zeroes not allowed
 at [Source: (PushbackInputStream); line: 2, column: 15]
[2023-06-2817:02:30] [ ERROR] [GlobalExceptionHandler:19] not-null property references a null or transient value : com.example.FinalDesdeCero.entity.Turno.odontologo; nested exception is org.hibernate.PropertyValueException: not-null property references a null or transient value : com.example.FinalDesdeCero.entity.Turno.odontologo
[2023-06-2817:03:52] [ ERROR] [GlobalExceptionHandler:19] not-null property references a null or transient value : com.example.FinalDesdeCero.entity.Turno.odontologo; nested exception is org.hibernate.PropertyValueException: not-null property references a null or transient value : com.example.FinalDesdeCero.entity.Turno.odontologo
[2023-06-2817:09:11] [ ERROR] [GlobalExceptionHandler:19] not-null property references a null or transient value : com.example.FinalDesdeCero.entity.Turno.odontologo; nested exception is org.hibernate.PropertyValueException: not-null property references a null or transient value : com.example.FinalDesdeCero.entity.Turno.odontologo
[2023-06-2817:10:26] [ ERROR] [GlobalExceptionHandler:19] JSON parse error: Cannot construct instance of `com.example.FinalDesdeCero.entity.OdontologoDTO` (although at least one Creator exists): no int/Int-argument constructor/factory method to deserialize from Number value (1); nested exception is com.fasterxml.jackson.databind.exc.MismatchedInputException: Cannot construct instance of `com.example.FinalDesdeCero.entity.OdontologoDTO` (although at least one Creator exists): no int/Int-argument constructor/factory method to deserialize from Number value (1)
 at [Source: (PushbackInputStream); line: 4, column: 20] (through reference chain: com.example.FinalDesdeCero.entity.TurnoDTO["odontologo"])
[2023-06-2819:24:32] [ ERROR] [GlobalExceptionHandler:19] not-null property references a null or transient value : com.example.FinalDesdeCero.entity.Turno.odontologo; nested exception is org.hibernate.PropertyValueException: not-null property references a null or transient value : com.example.FinalDesdeCero.entity.Turno.odontologo
[2023-06-2819:24:44] [ ERROR] [GlobalExceptionHandler:19] not-null property references a null or transient value : com.example.FinalDesdeCero.entity.Turno.odontologo; nested exception is org.hibernate.PropertyValueException: not-null property references a null or transient value : com.example.FinalDesdeCero.entity.Turno.odontologo
[2023-06-2819:26:52] [ ERROR] [GlobalExceptionHandler:19] JSON parse error: Cannot construct instance of `com.example.FinalDesdeCero.entity.OdontologoDTO` (although at least one Creator exists): no int/Int-argument constructor/factory method to deserialize from Number value (1); nested exception is com.fasterxml.jackson.databind.exc.MismatchedInputException: Cannot construct instance of `com.example.FinalDesdeCero.entity.OdontologoDTO` (although at least one Creator exists): no int/Int-argument constructor/factory method to deserialize from Number value (1)
 at [Source: (PushbackInputStream); line: 3, column: 20] (through reference chain: com.example.FinalDesdeCero.entity.TurnoDTO["odontologo"])
[2023-06-2819:26:58] [ ERROR] [GlobalExceptionHandler:19] JSON parse error: Cannot construct instance of `com.example.FinalDesdeCero.entity.OdontologoDTO` (although at least one Creator exists): no int/Int-argument constructor/factory method to deserialize from Number value (1); nested exception is com.fasterxml.jackson.databind.exc.MismatchedInputException: Cannot construct instance of `com.example.FinalDesdeCero.entity.OdontologoDTO` (although at least one Creator exists): no int/Int-argument constructor/factory method to deserialize from Number value (1)
